100 6.991e-06
150 1.4793e-05
200 1.5834e-05
250 2.1642e-05
300 3.1889e-05
350 4.5032e-05
400 3.9006e-05
450 4.444e-05
500 5.8867e-05
550 6.4534e-05
600 7.4393e-05
650 8.6208e-05
700 0.000106611
750 0.000110632
800 8.9667e-05
850 9.9675e-05
900 0.000111295
950 0.000128164
1000 0.000127615
1050 0.000139674
1100 0.000146191
1150 0.000156313
1200 0.000171064
1250 0.000179704
1300 0.000189611
1350 0.000218925
1400 0.000225239
1450 0.000226587
1500 0.000237848
1550 0.000264491
1600 0.000195954
1650 0.00021589
1700 0.000227738
1750 0.000240026
1800 0.000258757
1850 0.000276244
1900 0.000272196
1950 0.000273936
2000 0.000286417
2050 0.000287101
2100 0.000298817
2150 0.000311857
2200 0.000322451
2250 0.000341662
2300 0.000359218
2350 0.000385575
2400 0.000390668
2450 0.000403593
2500 0.000393124
2550 0.000410709
2600 0.000418224
2650 0.000442226
2700 0.000464236
2750 0.000455973
2800 0.000481778
2850 0.000490494
2900 0.000471985
2950 0.000466436
3000 0.00050726
3050 0.000499971
3100 0.000522526
3150 0.000535818
3200 0.00041446
3250 0.000458534
3300 0.000458509
3350 0.000479381
3400 0.000477284
3450 0.000490334
3500 0.000526276
3550 0.000517759
3600 0.000516795
3650 0.000546238
3700 0.000566499
3750 0.00056863
3800 0.00058077
3850 0.000612604
3900 0.000598978
3950 0.00056646
4000 0.000581145
4050 0.000590017
4100 0.000636042
4150 0.000610156
4200 0.000651252
4250 0.000629943
4300 0.000650703
4350 0.000662936
4400 0.000726355
4450 0.000715994
4500 0.000732664
4550 0.000680526
4600 0.000697944
4650 0.000720655
4700 0.000742053
4750 0.000805779
4800 0.000808309
4850 0.000831518
4900 0.000777617
4950 0.000806465
5000 0.000844348
